address,ion-total
osmo10vkkjh7fhhmzgc44cfmj6pwzk5z6ummwhvyrmz,3.0
osmo10vvtht8ycyup5sj2tz3m80dnet8hge6lc2assf,0.034606
osmo10vxufrnag7ex7euzjrr4c82qf7pjg8mc25w49a,1.008087
osmo10vzhpxd8k4u39qfsgwztkup072egm3947h27h3,0.052373
osmo10x53ljf7kpvdksr3xeg45c4s7925dyjj835my3,0.513002
osmo10xd29zs8x3eq9upvkke6glsx8ttrrkfnjh3p6c,0.013438
osmo10xdp3mr5l40g8hq9uqte8ea99fuuuh39c4ufnx,5.549796
osmo10xrqt2z5swutrq0qfl7qysug5yf7xwryfdlj53,2.76301
osmo10xv3mmp66rf95w0js8mc7ckm6dlwgcsmdu26ef,5.0
osmo10xyd28tn74s2fvzhy7ev4jarcueatpyzp3h94d,0.507574
osmo10y5kcw9ff8rna6re8lvzkflxrj6f0g3ejlhszx,0.156108
osmo10yc792407ktru4hu6uv85qjquphyrmww0hk9de,0.15
osmo10ylwrajltnwt6dvrtuxfs0j66e38lgx5kju4p9,1.0
osmo10ymws40tepmjcu3a2wuy266ddna4ktas445pvj,2e-06
osmo10yuzcjx7ne66cxkr5utt26u8m670haf3x4evvd,0.00022
osmo10ywtf0v6j462vguxjjp9mt5e6etl7kp7wghk5l,0.134389
osmo10z6mwcv78kmnj4lm74ce3zydrqwuh5qhhlyl6s,0.010196
osmo1206mghh7a4ha8w2jputtj7xaflrplaag6mgz8r,1.982947
osmo120t7ck9h65994ufhvq8ux3q6pn5qnau48tezun,0.001125
osmo120u45fn44dgpf3zqdragxjwfvazj8rcgv9zhqp,0.003109
osmo1229cg2630xhnug8kal34yzyuvl3303asf8whly,1.0
osmo122c3ta92tpj5c6rhdy0rxjt7san8yj7xem0u3k,0.841823
osmo122qwf6a3hdf86z0sk044p86h2908nfpktfessa,0.000127
osmo122taa46qrdv22ryk6v9wvs285y24q9z2vk69q8,0.016926
osmo1234k068w7verh0ru073dnh6hqq88kcyn4ajffs,3.0
osmo12359v3j2y37w7ezmke9ruqf8sug7kwsmu2ca5h,1.0
