address,osmo-total,ion-total
osmo10qa4cg48pgxu5mmtev38p78n4uyevd2fxgm0vy,3.622236,0.0001
osmo10r0nvrg87qlkl6yfycvwj6wp5kj5h2g8k6wrle,650.105796,0.006708
osmo10rdut36lnhsrudd3t4zqqgpvrmxam4leprsszg,11654.061239,0.763123
osmo10rk2v8pxjnldtxuy9ds0s5na9qjcmh5yvc8w8g,51948.220138,2.823141
osmo10sqekg25wn6uay67x8rv2t909ayx29vhhquf7t,902.09806,0.248708
osmo10sxe9z0xt5hjs78t0q60p0wzuhlzq5m6lcd63h,2433.913998,1.674849
osmo10tgsx0xza7v4kaaw23cyglcpr27c86qryxga3z,2285.133308,1.194242
osmo10u8vs6vn6cwg6p72v05mlmwd03uupazx4nk5l7,1.09375,0.011
osmo10up7na26hcmt8y4e4ke44swzvl5690znfgq4fx,1.188436,0.000129
osmo10uqudqs9cs9acxwdln8s0t23su6sputhsyxy9d,3.634501,0.0001
osmo10ven70nt35qr3yjgcl7psustkmrfu35q7nr5gl,851227.500388,3.7e-05
osmo10vkkjh7fhhmzgc44cfmj6pwzk5z6ummwhvyrmz,3171.804474,3.0
osmo10vvtht8ycyup5sj2tz3m80dnet8hge6lc2assf,534.627951,0.034606
osmo10vxufrnag7ex7euzjrr4c82qf7pjg8mc25w49a,9928.392013,1.008087
osmo10vzhpxd8k4u39qfsgwztkup072egm3947h27h3,41.154628,0.052373
osmo10x53ljf7kpvdksr3xeg45c4s7925dyjj835my3,1013.782845,0.513002
osmo10xd29zs8x3eq9upvkke6glsx8ttrrkfnjh3p6c,75.594202,0.013438
osmo10xdp3mr5l40g8hq9uqte8ea99fuuuh39c4ufnx,2634.83,5.549796
osmo10xrqt2z5swutrq0qfl7qysug5yf7xwryfdlj53,7745.226659,2.76301
osmo10xv3mmp66rf95w0js8mc7ckm6dlwgcsmdu26ef,2.03,5.0
osmo10xyd28tn74s2fvzhy7ev4jarcueatpyzp3h94d,574.998737,0.507574
osmo10y5kcw9ff8rna6re8lvzkflxrj6f0g3ejlhszx,4633.637938,0.156108
osmo10yc792407ktru4hu6uv85qjquphyrmww0hk9de,352.593634,0.15
osmo10ylwrajltnwt6dvrtuxfs0j66e38lgx5kju4p9,25043.783983,1.0
osmo10ymws40tepmjcu3a2wuy266ddna4ktas445pvj,1.48026,2e-06
osmo10yuzcjx7ne66cxkr5utt26u8m670haf3x4evvd,0.359045,0.00022
osmo10ywtf0v6j462vguxjjp9mt5e6etl7kp7wghk5l,2716.31845,0.134389
osmo10z6mwcv78kmnj4lm74ce3zydrqwuh5qhhlyl6s,315.935271,0.010196
osmo1206mghh7a4ha8w2jputtj7xaflrplaag6mgz8r,7516.053157,1.982947
osmo120t7ck9h65994ufhvq8ux3q6pn5qnau48tezun,34.363953,0.001125
osmo120u45fn44dgpf3zqdragxjwfvazj8rcgv9zhqp,161.705923,0.003109
osmo1229cg2630xhnug8kal34yzyuvl3303asf8whly,2941.868014,1.0
osmo122c3ta92tpj5c6rhdy0rxjt7san8yj7xem0u3k,1334.81882,0.841823
osmo122qwf6a3hdf86z0sk044p86h2908nfpktfessa,0.255866,0.000127
osmo122taa46qrdv22ryk6v9wvs285y24q9z2vk69q8,1190.456815,0.016926
osmo1234k068w7verh0ru073dnh6hqq88kcyn4ajffs,0.0,3.0
osmo12359v3j2y37w7ezmke9ruqf8sug7kwsmu2ca5h,448.991379,1.0
osmo123kc3cfvh2epdughwhv9r98y8hl4l3qh3hzgu0,0.797551,1.0
osmo123nfq6m8f88m4g3sky570unsnk4zng4uqv7cm8,4260.66616,3e-06
osmo124j89uq3e4k98qeve2ens83v62a9x5hnngtw9v,42874.339764,2e-06
osmo124maqmcqv8tquy764ktz7cu0gxnzfw5477tt5x,0.620128,10.0
osmo124tztqwj5lkf434pq9jjcxykda2mn9648hyh30,430.334648,0.539931
osmo1254988hlhrpakkxjxd3umsyp85fwufpyy4zgd4,198.040539,0.199804
osmo1257z002rhrcudd5468zh4ve25uq0mf0c7u2y08,341.022722,1.0
osmo125cc5xqzt6m66zu8cmf64wxh2vsx0cvfp8ar87,120.553516,0.041691
osmo125cn7aw3kz9dctf95rwf5mp0pgnpm0u9jd6gck,4250.751355,0.921427
osmo125nzdjndr6g8sy4z999qllpre9xyzdujp75vf8,294.971608,0.496679
osmo125s2fr0x3fhzwr8m57x0nv58xv39kv3hufh00j,3386.101451,0.980699
osmo126k337dmgpnsfaqjgzvtmpta3rgpwq5h88959z,375.13943,0.086326
osmo126s88pyn4ar3cwfx4f3s8h0m0vcsxskz8dzjd5,95.083127,0.181693
osmo126w0j2uuz77gmh6k9s6s34z3cmyldn8um09kst,1093.025991,0.39931
osmo12736ed7frh0uxwv2tm29qz8v30fe03kqkc4pkc,26883.518899,1e-06
osmo1273zsxhxd5dlgcr2zjf5x25275hjcp3uhl7pj9,59794.931776,1e-06
osmo127ax4kl8kfrjtl20gyvlumqqsxfp66hj0jnxr7,19759.168092,1e-06
osmo127c4cespmkzv6rak0uuflfggp4pzrp37ks3kp0,10678.047321,3.042271
osmo127hgjjrst9mngejd4l4wprnnppwl6e22juz3aj,377.16459,0.009193
osmo127kucvr2vv9hxujsw45k9ra2kmndh39lduv9jh,56.933813,0.16842
osmo127pdm2umuvppet63lezvjv5flrvfyjrqsfaf6k,33453.39849,0.469293
osmo1282jkcz8rgers42yqz6xpd6837wvd3avx4caae,518.353196,0.018176
osmo128twzjec6t5n54mydf5q3cy7jtf2v3agyzvk9k,329.749406,0.10287
osmo128xpn50a0ncum8w0cf5lcy9vu9793dyuznlxt3,0.127676,0.000149
osmo128zjnjs237ku8uqn33wyar9lz5uhyfck94quhu,205.859644,1.007201
osmo128zyy8ku95je5r284zeptgy88mmspcwev4kauc,478.845803,0.015405
osmo129ekzf5pmmtf2ktkutzpkxch0pedkvq24hzyxa,2009.792039,2.414237
osmo129fsmssvqhmw54kdr7hhxms36fh9wh2hdh806r,8.05221,0.002449
osmo129rw3gnlk6x9annfw93jk86p55tn7wleenslh8,312.862876,0.17092
osmo129u9geqpntha0jwal2jrtmazxv98gmaj5quspw,581.150119,0.883485
osmo129y4a4w6za2k4cshfflkp9sq22n7vwhp8c0a0q,524.35784,0.012551
osmo12a6z60gx0k3p6p8avlevwr620pd0nesx8wvxg6,0.315211,9.5e-05
osmo12ae5qvmyyvh8kvdhgv7tdgsg2se0mrujx35pxs,367.020896,0.049314
osmo12az976k62c4qlsfy0tz2ujtw73vvhpqnr42ryt,34105.127492,0.005841
osmo12c9jmqmmlt5jukgdkkk95sh89lnq7drduv8x0q,419.869227,0.129889
osmo12cp4ln8xeutas3kl9vv49khq8nyrmxfma89rvc,375.040653,0.200286
osmo12d8gk9hdnvnrryvnr25xqc27cshalh5qd7gh5k,4912.857805,1.070627
osmo12dcn0w3km74rg8ygje0zd0rqmwu9448uvqld2h,350.961065,1.0
osmo12de0fannh8kyxh54r8kqc5x8vvvcmrkeu90rjj,148.564832,0.084751
osmo12dgvvmy8rv2xvudwa2pzygd2mdzjm9jx7r8syf,61207.190158,1e-06
osmo12dvtud0k2ujcy5ydefy5770gpvpxqag9q89x08,0.0,0.157761
osmo12e7ryh3z4034zd398lwudmyvkm7hngy5j7kw4w,1142.857402,0.014864
osmo12exmmu65tpupls4hug5mc4un393dzcrj5e6mfl,279.590099,0.896358
osmo12f8p937qhcuvfrwtvqmjtp5c3se4nvk8ew7m8u,8.704543,0.000199
osmo12fhmhqfmvd5z3cg2hq5q3ms2mxqjrvuvg879z2,8.905183,0.001653
osmo12fpydvdxp8gu8hs4hceadj90t3as0qkvkzxfu7,325.047099,0.841398
osmo12fsu5rfdw6qlx3qsrnnrgskmrqzx473grq2mgf,8.988087,0.002169
osmo12fzwhlnsdk22hksrfvhlew4y2pw9redaheavs8,15896.111423,1.9999
osmo12g2v4a7ej468c023x9f98zl9knddtwq0t78ve2,42481.174153,14.839239
osmo12g9y7pj36q3rfkfvd7emy8fqvmywuweqyd99ka,1.888735,1.0
osmo12gasm3vr4f2jpeul4d49kmv424sxjznwcmmvjl,2168.703958,0.018967
osmo12ghus5t3dhhxsky8vcfffhjs2kmdst06aamwqj,30.608986,1.0
osmo12glux0ke2j8f5zd7w6480n6pa0ytle3s5twhrr,465.154773,1.0
