Address,Genesis Qty,Clawback Qty
osmo12jpf5yducxnd0dms3sxlgcsjejhj6gghvtyw2f,1,1.0
osmo12n8us22erhxcj0df4hkgrqpfpdppyaeyus072c,1,0.5
osmo12pacz5tyulvluu0tl6kld3txhdu70dxg4jj2p7,2,0.963051
osmo12pek06px76y2mr2fp7ew4wz8asxv3rpwgvdjww,8,2.030399
osmo12pnn4zl8cqwd3gedv8ydeq5x5x2pl5uj9gg6hy,1,1.0
osmo12q9urhjzrkpkuf4cq2mrhqtqfwgvejtegneqcw,2,2.0
osmo12rm33yfsm6cqg9n45wseqqctks88jmespju4xw,2,1.907281
osmo12scnajjddcrkskht7mj7qplzxh7zkzfwey0qdd,1,0.486268
osmo12t0jh53ufgw0ept6hkcd5gaqupnpakd4994pr6,1,1.0
osmo12takrk3gtnzvhglyldhnu9pghvqgxt8kvfjg8u,2,0.909827
osmo12tc02wts4kmjs079zmytn7w5pl32e9xzn3cj3w,2,0.28354
osmo12tdulmvjmsmpaqrpshz0emu0h9sqz5x5vltjjv,2,1.637694
osmo12u4ucpu42s9r0uth4k9hrpzfspdrp4lhpv32rc,1,0.690689
osmo12usue8q9w5mmvuteh0k40h0zzutlm9k0c36am2,4,4.127958
osmo12wsvehxqc9an5da9rlzgv5lwjaa7ccparjdfrl,2,0.644352
osmo12wtm84yh5t0jmmunvscgj6vl2rs73pau7lg49u,1,1.0
osmo12xenugjgh9pevjz0hd935ee3zqhpvwstzf2jpf,1,1.0
osmo12ysc6z4fnkwlnf54ur58eq7r0er0k0j58qc7s5,1,0.153315
osmo12z2988anxfkyrn9jtd942xgjlxqk6t8m5cxage,1,0.454933
osmo130mdu9a0etmeuw52qfxk73pn0ga6gawktly65g,19,21.069411
osmo132yvlsuf0ufpt5tcsvtr30qqlwn6h5a2u8qat0,1,0.007528
osmo13306hrp8e9y9z8lv5h2eccupffj8kw95hwx292,1,0.018961
osmo133t8m00w7llsslnf05zdhehharntly8dt2x2cj,6,12.0
osmo134etyls3hfkt3alwl09w3nnfqrdhqa7nq9mhm2,2,1.85533
osmo1352qm92l6p3w4jldzd66yl9xl4c84zedtaeq4k,1,1.0
osmo135c82rgh2s5g36cepsv6r3s87dgp0dmrs5vmvq,1,1.0
osmo135k5uym2xh7pzhafzamfa5fchkeerl98ekyklm,1,0.05276
osmo135qla4294zxarqhhgxsx0sw56yssa3z0p953da,2,2.0
osmo136hvf8mvh4ufde8wcjym9zhgaz30zdajwsefm8,1,1.0
osmo137uqhz0u6h0zpn3w5rmhtr98d4m80hf9jqd32j,3,1.840195
osmo138yjsaz40xurlayc50k448k2vemky4ag64u02r,2,0.927291
osmo13944048lk3j8kz9q040nus2awvlfwmrvqeaynm,2,1.534413
osmo139fg9hfatne44y9e8drx07ultvyed9hlxekvpx,1,1.0
osmo13acu2gmykq658hht7x7hafhrcjlpkcrynse5uq,10,2.690658
osmo13ce5xmpm08c8e48hum4t08mtax59gtgxj6ravs,1,1e-06
osmo13dyezaxs8zwjldqedjnu7peldxvqwkzmqzdk3d,2,2.0
osmo13g4t6h62v2fzn6rge8xlaqwy02xn7lfx5657g8,2,2.0
osmo13gjhk3pmmusvdrsgqwdc74fcafdmvex0h47y3q,5,3.367938
osmo13hfzclxsgzywxfyh5tvhxff3mnnr6jskv2kqyz,2,2.0
osmo13hgplqnsp0hwlx9cesjmweadqetas57l0w2zy6,2,1.999848
osmo13hk90m4hyjm60y4rwztkqsganugst3m0teadlu,1,1.0
osmo13hxvfec0drkvsgwrms232puyr66hsdg85zp2dn,1,1.0
osmo13k6qfw70078hzfwmnxucaz22tvfst526z9tqwp,1,5.649028
osmo13l2cphu2rldhmygrwn2un79j05rhywnkwvvlw6,2,2.0
osmo13lc3a5z2leysy437ps8dwj5gs7y9tna6lj0ptx,1,1.004141
osmo13lfwqjqfzfe2muq3j273y2l2tuzgkrp8jt5j0u,1,0.852437
osmo13lmh7zyl4rtvvxyx9tszwfv4efsmfz7ar22j7j,4,0.316944
osmo13lmkeht48fahj6p5se2q07dwj3xczhqnw342cx,1,0.641786
osmo13mdcl758ve9lyh6vwz7m9707356snth4arh8dy,3,3.0
osmo13mzcw7ezlgzcgpls7xqxpsg5qqsxvp8j9nd52p,1,1.0
osmo13pw2eflhygv2rll337fze6m24gu04h58we28q2,1,4.196477
osmo13uus00dk300jg7n02rdh9dxzfkgfyj90y6qlrh,1,1.0
osmo13vwzpmmada8aangxtjyfschf04fh7mfj209m80,4,3.971163
osmo13x77yexvf6qexfjg9czp6jhpv7vpjdwwmtsu0q,9,9.000002
osmo13zhgpnl4dzq9x0p9eytzmmn66jlaj3z7yzcadf,1,0.009438
osmo13zvrzx4jllv7vyc3e4nfq02qlxjy0z60hq79v0,1,1.665172
osmo140achkhvd4u79uhyfaszjwn8y7yq90lr7yc9mc,3,3.913202
osmo140r4eptd3v6hsmnaze5vdq2ngdav8f9qfedu7f,2,1.902451
osmo1427rtyet0j4qayl6pyxtmmj9qqmmpptkt2v0vh,2,8.17333
osmo1428dpgezrcm40j72rljuvsqxth5j5p8n0y99lq,3,7.611397
osmo144m3alupxutcju0tnu2kur9hqsf5k5800exh2g,1,1.0
osmo1455756558zywcdhvrne9tr0zemtu6lpmsywyms,1,0.9552
osmo1463e4vj52dtfz7a0kpg8fqtdczuyqeudxurs24,1,1.0
osmo146kwpzhmleafmhtaxulfptyhnvwxzlvm23stf6,8,8.0
osmo147c6pydtytffp53zn9ermvf9d2xas9m83c589j,1,1.0
osmo147rl7s7azevxvxzlgzy5elxdxvedhauq8g859m,1,0.047694
osmo148045k6x9f4wmmg84zqumckk5rs34rqahj2p3v,1,1.0
osmo149g2tl9xakprzs5f854ntu5fthdgmuqddx7l7p,2,13.884886
osmo14dmelcmvwq8sefu5tr4atv98u6ur9c2048yt5m,7,1.0
osmo14dw8ulhtl4l3839k4m8xvs7dm9kzfvd4g3lp80,1,0.004063
osmo14eflcqm6rzlvauwdvw29gg2vqjmddn0937jd6y,1,2.398785
osmo14eknt2dqn4kznsmhavte4tckht4n93c65x2v5d,1,1.000001
osmo14fqtpynvp6vcn4hwu5k6fw3rtxzp5yd5u4e473,10,8.0
osmo14fx7rajzd2xhk8ypzkyyrqmfa4p4aezgfq49d6,1,0.0001
osmo14fxr4yckqfzmu89309az63nets4d04g2erhwxa,1,0.01
osmo14g2k4karj0ccszyy604qr8rsd5852k6hp5ls4v,1,1.0
osmo14g7km9np037g5cs379dj8l048yyn8qf45px74g,1,0.0001
osmo14gdqpjm3zsujyhqsfz5rna8ksqnrzdjg48ejj7,3,1e-06
osmo14h59xe0y8y8fgg3r9aycdfml043kksrmvpuze3,2,1.029417
osmo14jghwya6uh2anhpfnrdcl3sca9wvz6qryr4ep0,1,0.59158
osmo14kn0kk33szpwus9nh8n87fjel8djx0y0nqr7pn,19,22.49623
osmo14lultfckehtszvzw4ehu0apvsr77afvylnn8c9,18,14.424678
osmo14n9c5zcwuuczwkhut30rwy9mgyrv3pc46gnz5q,2,2.0
osmo14nkkqfrer478teprf20wl3dpmqprjsa24576lk,1,0.736516
osmo14pmxdrjhw5phezzcqlk0z25t4mpq24enjstjgx,2,1.682115
